title,imdb,year,decade code,binary,code,clean_test,average_sentiment,budget,domgross
21 &amp; Over,tt1711425,2013,1.0,FAIL,2013FAIL,notalk,0.6979920000000001,13000000,25682380.0
Dredd 3D,tt1343727,2012,1.0,PASS,2012PASS,ok,0.6249039999999999,45000000,13414714.0
12 Years a Slave,tt2024544,2013,1.0,FAIL,2013FAIL,notalk,-0.082824,20000000,53107035.0
2 Guns,tt1272878,2013,1.0,FAIL,2013FAIL,notalk,0.9039839999999996,61000000,75612460.0
42,tt0453562,2013,1.0,FAIL,2013FAIL,men,0.8035720000000001,40000000,95020213.0
47 Ronin,tt1335975,2013,1.0,FAIL,2013FAIL,men,0.5776399999999999,225000000,38362475.0
A Good Day to Die Hard,tt1606378,2013,1.0,FAIL,2013FAIL,notalk,-0.5702039999999999,92000000,67349198.0
About Time,tt2194499,2013,1.0,PASS,2013PASS,ok,0.8824879999999999,12000000,15323921.0
Admission,tt1814621,2013,1.0,PASS,2013PASS,ok,0.7971320000000002,13000000,18007317.0
After Earth,tt1815862,2013,1.0,FAIL,2013FAIL,notalk,0.162616,130000000,60522097.0
American Hustle,tt1800241,2013,1.0,PASS,2013PASS,ok,0.6722640000000001,40000000,148430908.0
August: Osage County,tt1322269,2013,1.0,PASS,2013PASS,ok,0.6284199999999999,25000000,37304874.0
Beautiful Creatures,tt1559547,2013,1.0,PASS,2013PASS,ok,0.6215760000000001,50000000,19452138.0
Blue Jasmine,tt2334873,2013,1.0,PASS,2013PASS,ok,0.6996079999999998,18000000,33345833.0
Captain Phillips,tt1535109,2013,1.0,FAIL,2013FAIL,notalk,0.7558559999999999,55000000,107136417.0
Carrie,tt1939659,2013,1.0,PASS,2013PASS,ok,0.5273439999999998,30000000,35266619.0
Cloudy with a Chance of Meatballs 2,tt1985966,2013,1.0,FAIL,2013FAIL,nowomen,0.8064959999999999,78000000,119640264.0
Despicable Me 2,tt1690953,2013,1.0,PASS,2013PASS,ok,0.7676120000000001,76000000,368065385.0
Don Jon,tt2229499,2013,1.0,FAIL,2013FAIL,dubious,0.7500880000000001,5500000,24477704.0
Elysium,tt1535108,2013,1.0,PASS,2013PASS,ok,0.7378599999999998,120000000,93050117.0
Ender&#39;s Game,tt1731141,2013,1.0,FAIL,2013FAIL,men,0.6369239999999998,110000000,61737191.0
Epic,tt0848537,2013,1.0,PASS,2013PASS,ok,0.6874640000000001,100000000,107518682.0
Escape from Planet Earth,tt0765446,2013,1.0,PASS,2013PASS,ok,0.645184,40000000,57012977.0
